family,global_index,case_key,slice_index,risk_score,source_dice,tent1_dice,delta_dice,state,harmful,beneficial,source_tp,source_fp,source_fn,tent_tp,tent_fp,tent_fn
UNet,40,Case00,40,0.9883959004318068,0.0,0.0,0.0,NEUTRAL,0,0,0,11680,0,0,2538,0
UNet,41,Case00,41,0.9479637948435684,0.0,0.0,0.0,NEUTRAL,0,0,0,9857,0,0,2184,0
UNet,42,Case00,42,0.8874924082039786,0.0,0.0,0.0,NEUTRAL,0,0,0,7276,0,0,3324,0
UNet,43,Case00,43,0.7279776161539495,0.0,0.0,0.0,NEUTRAL,0,0,0,5226,0,0,1602,0
UNet,44,Case00,44,0.7001709012736979,0.0,0.0,0.0,NEUTRAL,0,0,0,3705,0,0,3466,0
UNet,45,Case00,45,0.6760381306126446,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,5042,0
UNet,46,Case00,46,0.6461651089414705,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,2270,0
UNet,47,Case01,0,0.6787069318454017,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,450,0
UNet,48,Case01,1,0.2554396234975591,0.0,0.0,0.0,NEUTRAL,0,0,0,326,0,0,633,0
UNet,49,Case01,2,0.1517652488005831,0.0,0.0,0.0,NEUTRAL,0,0,0,297,0,0,2012,0
UNet,50,Case01,3,0.1680651564962871,0.0,0.0,0.0,NEUTRAL,0,0,0,1164,0,0,1171,0
UNet,51,Case01,4,0.1523905736133549,0.0,0.0,0.0,NEUTRAL,0,0,0,798,0,0,922,0
UNet,52,Case01,5,0.3521231753047269,0.0,0.0,0.0,NEUTRAL,0,0,0,438,0,0,430,0
UNet,53,Case01,6,0.5687987981994888,0.0,0.0,0.0,NEUTRAL,0,0,0,1612,0,0,47,0
UNet,54,Case01,7,0.7845135314935975,0.5491551459293394,0.7469440832249675,0.19778893729562808,BENEFIT,0,1,1430,2101,247,1436,732,241
UNet,55,Case01,8,0.6691661467308753,0.8103743577195988,0.8364367046215673,0.026062346901968514,BENEFIT,0,1,3312,1139,411,3122,620,601
UNet,56,Case01,9,0.6617211693779338,0.9040361748450846,0.894391460320238,-0.00964471452484661,NEUTRAL,0,0,5398,462,684,5111,236,971
UNet,57,Case01,10,0.2516407404419472,0.9356470512902606,0.9077359361603904,-0.027911115129870212,HARM,1,0,7306,69,936,6882,39,1360
UNet,58,Case01,11,0.4027388193248751,0.9442312034319259,0.9274492497793468,-0.016781953652579062,NEUTRAL,0,0,8364,267,721,7881,29,1204
UNet,59,Case01,12,0.1504672559828301,0.9491991330549241,0.9001281122932101,-0.04907102076171399,HARM,1,0,8978,126,835,8080,60,1733
